                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                0.48991,                0.27294,                0.89001,                0.99948,                      1,                  0.995,                0.91204,                0.49233,                0.22306,                0.89008,              0.0009902,              0.0009902,              0.0009902
                     54,                0.49204,                0.27392,                0.90082,                0.99948,                      1,                  0.995,                0.88521,                0.50465,                0.23495,                0.90153,              0.0009704,              0.0009704,              0.0009704
                     55,                0.48419,                0.26916,                0.89616,                      1,                0.99815,                  0.995,                0.89612,                0.52545,                0.24256,                0.90609,              0.0009506,              0.0009506,              0.0009506
                     56,                0.49156,                  0.271,                0.90502,                0.99982,                      1,                  0.995,                0.89779,                0.48509,                0.21953,                0.88969,              0.0009308,              0.0009308,              0.0009308
                     57,                0.48374,                0.25965,                 0.8925,                0.99355,                0.99304,                0.99494,                0.90137,                0.49966,                0.22362,                0.89874,               0.000911,               0.000911,               0.000911
                     58,                0.48978,                0.26167,                0.89629,                0.99978,                      1,                  0.995,                0.90716,                0.49844,                0.21636,                0.89129,              0.0008912,              0.0008912,              0.0008912
                     59,                0.47541,                0.25886,                0.89406,                0.99959,                      1,                  0.995,                 0.9108,                 0.4974,                0.22518,                0.89212,              0.0008714,              0.0008714,              0.0008714
                     60,                0.48855,                0.26804,                0.89548,                0.99966,                      1,                  0.995,                0.91215,                0.48392,                0.21874,                0.88922,              0.0008516,              0.0008516,              0.0008516
                     61,                0.48103,                0.26254,                0.88804,                0.99953,                      1,                  0.995,                0.90605,                0.48834,                0.22242,                0.88689,              0.0008318,              0.0008318,              0.0008318
                     62,                0.46311,                0.25211,                0.88398,                0.99941,                      1,                  0.995,                0.90002,                0.48858,                0.22144,                0.89468,               0.000812,               0.000812,               0.000812
                     63,                0.47127,                0.25559,                0.89326,                0.99961,                      1,                  0.995,                0.90178,                0.49724,                   0.22,                0.89387,              0.0007922,              0.0007922,              0.0007922
                     64,                 0.4776,                 0.2599,                0.88984,                 0.9996,                      1,                  0.995,                0.90691,                 0.4841,                0.21447,                0.88481,              0.0007724,              0.0007724,              0.0007724
                     65,                0.45442,                0.24963,                0.88552,                0.99952,                      1,                  0.995,                0.89806,                0.50362,                 0.2221,                 0.8966,              0.0007526,              0.0007526,              0.0007526
                     66,                0.46569,                0.25157,                0.88152,                0.99941,                      1,                  0.995,                0.90763,                 0.4834,                0.21403,                0.89129,              0.0007328,              0.0007328,              0.0007328
                     67,                0.45799,                0.24538,                0.89199,                0.99957,                      1,                  0.995,                0.91038,                0.48488,                0.20734,                0.88814,               0.000713,               0.000713,               0.000713
                     68,                0.46147,                0.25047,                0.88531,                      1,                0.99881,                  0.995,                0.89974,                0.48802,                0.21267,                0.89039,              0.0006932,              0.0006932,              0.0006932
                     69,                0.44623,                0.24627,                0.87925,                 0.9996,                      1,                  0.995,                0.90902,                0.48395,                0.20845,                0.88689,              0.0006734,              0.0006734,              0.0006734
                     70,                0.45451,                 0.2499,                0.88422,                      1,                0.99948,                  0.995,                0.90814,                0.49048,                0.21785,                0.89455,              0.0006536,              0.0006536,              0.0006536
                     71,                0.45298,                0.24947,                0.88948,                0.99965,                      1,                  0.995,                0.91092,                0.47492,                 0.2017,                 0.8859,              0.0006338,              0.0006338,              0.0006338
